UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
TO,96210,9,158,295,253,20221030T080001,20221030T170134,407,10,230,UE2020
TO,96210,9,13,263,223,20221030T080001,20221030T170105,407,6,209,UE2020
TO,96210,9,111,255,226,20221030T080001,20221030T170043,407,2,225,UE2020
TO,96210,9,127,132,119,20221030T080001,20221030T170322,407,0,113,UE2020
TO,96210,9,7,265,235,20221030T080001,20221030T170126,407,18,211,UE2020
TO,96210,9,112,295,249,20221030T080001,20221030T170137,407,8,236,UE2020
TO,96210,9,95,233,182,20221030T080001,20221030T170436,407,6,161,UE2020
TO,96210,9,27,218,192,20221030T080001,20221030T170011,407,4,184,UE2020
TO,96210,9,133,254,238,20221030T080001,20221030T170120,407,2,209,UE2020
TO,96210,9,12,267,216,20221030T080001,20221030T170230,407,12,198,UE2020
TO,96210,9,141,275,235,20221030T080255,20221030T170134,407,8,234,UE2020
TO,96210,9,119,255,233,20221030T080001,20221030T170331,407,2,202,UE2020
TO,96210,9,31,295,255,20221030T080001,20221030T170435,407,8,236,UE2020
TO,96210,9,32,222,187,20221030T080001,20221030T170158,407,2,187,UE2020
TO,96210,9,153,274,227,20221030T080001,20221030T170156,407,12,225,UE2020
TO,96210,9,19,249,188,20221030T080001,20221030T170047,407,9,185,UE2020
TO,96210,9,106,212,172,20221030T080001,20221030T170106,407,5,158,UE2020
TO,96210,9,3,261,195,20221030T080001,20221030T170030,407,8,179,UE2020
TO,96210,9,28,292,214,20221030T080426,20221030T170800,407,8,195,UE2020
TO,96210,9,114,270,215,20221030T080001,20221030T170033,407,0,212,UE2020
TO,96210,9,97,266,214,20221030T080001,20221030T170220,407,5,201,UE2020
TO,96210,9,26,218,189,20221030T080001,20221030T170123,407,10,182,UE2020
TO,96210,9,161,233,186,20221030T080001,20221030T170044,407,2,181,UE2020
TO,96210,9,76,259,225,20221030T080201,20221030T170154,407,13,222,UE2020
TO,96210,9,93,246,207,20221030T080549,20221030T170035,407,7,207,UE2020
TO,96210,9,6,269,216,20221030T080001,20221030T170301,407,13,191,UE2020
TO,96210,9,8,267,221,20221030T080001,20221030T170053,407,21,192,UE2020
TO,96210,9,176,294,211,20221030T080001,20221030T170449,407,2,160,UE2020
TO,96210,9,123,288,219,20221030T080001,20221030T170331,407,10,201,UE2020
TO,96210,9,20,258,201,20221030T080001,20221030T170040,407,4,183,UE2020
TO,96210,9,146,254,241,20221030T080001,20221030T170101,407,1,209,UE2020
TO,96210,9,15,241,193,20221030T080001,20221030T170008,407,8,180,UE2020
TO,96210,9,22,263,212,20221030T080001,20221030T170237,407,5,183,UE2020
TO,96210,9,16,244,210,20221030T080001,20221030T170148,407,11,209,UE2020
TO,96210,9,24,223,170,20221030T080001,20221030T170024,407,23,165,UE2020
TO,96210,9,140,264,221,20221030T080001,20221030T170033,407,7,219,UE2020
TO,96210,9,23,263,222,20221030T080001,20221030T170122,407,6,194,UE2020
TO,96210,9,181,265,212,20221030T080001,20221030T170032,407,4,100,UE2020
TO,96210,9,18,241,201,20221030T080109,20221030T170102,407,11,186,UE2020
TO,96210,9,30,296,246,20221030T080001,20221030T170047,407,11,234,UE2020
TO,96210,9,29,297,246,20221030T080001,20221030T170142,407,13,227,UE2020
TO,96210,9,51,206,175,20221030T080001,20221030T170053,407,11,175,UE2020
TO,96210,9,170,262,180,20221030T080001,20221030T170307,407,9,177,UE2020
TO,96210,9,5,263,221,20221030T080001,20221030T170029,407,3,218,UE2020
TO,96210,9,10,266,220,20221030T080001,20221030T170058,407,10,205,UE2020
TO,96210,9,143,241,189,20221030T080001,20221030T170021,407,8,173,UE2020
TO,96210,9,128,316,269,20221030T080001,20221030T170026,407,2,235,UE2020
TO,96210,9,21,266,205,20221030T080001,20221030T170053,407,4,180,UE2020
TO,96210,9,11,266,219,20221030T080001,20221030T170046,407,8,200,UE2020
TO,96210,9,147,254,203,20221030T080047,20221030T170308,407,8,199,UE2020
TO,96210,9,113,275,227,20221030T080001,20221030T170021,407,15,223,UE2020
TO,96210,9,4,260,221,20221030T080001,20221030T170333,407,14,214,UE2020
TO,96210,9,17,236,197,20221030T080001,20221030T170130,407,6,155,UE2020
TO,96210,9,126,221,191,20221030T080001,20221030T170028,407,0,164,UE2020
TO,96210,9,25,221,191,20221030T080001,20221030T170111,407,5,184,UE2020
TO,96210,9,171,268,209,20221030T080001,20221030T170729,407,4,141,UE2020
TO,96210,9,14,264,215,20221030T080108,20221030T170039,407,7,192,UE2020
TO,96210,9,120,293,241,20221030T080001,20221030T170212,407,4,214,UE2020
TO,96210,9,99,262,212,20221030T080001,20221030T170634,407,17,207,UE2020
TO,73270,26,13,261,204,20221030T080001,20221030T170045,407,63,182,UE2009
TO,73270,26,44,291,242,20221030T080001,20221030T170011,407,31,224,UE2009
TO,73270,26,40,261,211,20221030T080001,20221030T170058,407,15,207,UE2009
TO,73270,26,49,272,203,20221030T080001,20221030T170151,407,32,170,UE2009
TO,73270,26,52,253,175,20221030T080001,20221030T170033,407,19,129,UE2009
TO,73270,26,48,184,151,20221030T080504,20221030T170236,407,26,138,UE2009
TO,73270,26,14,260,219,20221030T080001,20221030T170051,407,46,209,UE2009
TO,73270,26,45,170,149,20221030T080014,20221030T170142,407,30,128,UE2009
TO,95591,3,223,305,243,20221030T080001,20221030T170116,407,5,214,UE2020
TO,95591,3,145,291,239,20221030T080001,20221030T170119,407,9,233,UE2020
TO,95591,3,150,323,261,20221030T080001,20221030T170116,407,6,247,UE2020
TO,95591,3,134,341,288,20221030T080002,20221030T170212,407,19,287,UE2020
TO,95591,3,9,272,223,20221030T080001,20221030T170059,407,13,205,UE2020
TO,95591,3,142,296,248,20221030T080001,20221030T170136,407,2,242,UE2020
TO,95591,3,241,344,273,20221030T080001,20221030T170649,407,6,221,UE2020
TO,95591,3,33,404,325,20221030T080001,20221030T170252,407,7,269,UE2015
TO,95591,3,75,93,68,20221030T081225,20221030T170222,407,14,65,UE2010
TO,95591,3,130,252,218,20221030T080001,20221030T170208,407,12,199,UE2015
TO,95591,3,135,272,222,20221030T080001,20221030T170035,407,5,218,UE2015
TO,95591,3,225,274,213,20221030T080001,20221030T170140,407,9,183,UE2015
TO,95591,3,127,264,222,20221030T080001,20221030T170236,407,8,209,UE2020
TO,95591,3,229,286,244,20221030T080001,20221030T170620,407,6,219,UE2020
TO,95591,3,249,313,269,20221030T080001,20221030T170035,407,22,195,UE2009
TO,95591,3,203,287,236,20221030T080001,20221030T170029,407,9,229,UE2020
TO,95591,3,186,267,196,20221030T080001,20221030T170046,407,11,193,UE2015
TO,95591,3,182,214,180,20221030T080001,20221030T170853,407,12,173,UE2020
TO,95591,3,213,334,265,20221030T080001,20221030T170258,407,34,249,UE2010
TO,95591,3,7,275,234,20221030T080001,20221030T170105,407,2,209,UE2020
TO,95591,3,245,336,266,20221030T080001,20221030T170101,407,49,258,UE2010
TO,95591,3,112,260,220,20221030T080001,20221030T170028,407,20,217,UE2010
TO,95591,3,41,319,265,20221030T080140,20221030T170119,407,8,243,UE2020
TO,95591,3,209,305,255,20221030T080001,20221030T170225,407,8,234,UE2020
TO,95591,3,159,299,246,20221030T080001,20221030T170123,407,43,233,UE2010
TO,95591,3,109,292,247,20221030T080001,20221030T170049,407,6,236,UE2020
TO,95591,3,39,320,258,20221030T080001,20221030T170305,407,14,241,UE2020
TO,95591,3,27,258,208,20221030T080001,20221030T170151,407,25,195,UE2010
TO,95591,3,47,255,205,20221030T080001,20221030T170025,407,28,192,UE2010
TO,95591,3,133,280,235,20221030T080001,20221030T170200,407,5,217,UE2020
TO,95591,3,53,299,258,20221030T080001,20221030T170302,407,4,252,UE2020
TO,95591,3,199,309,258,20221030T080001,20221030T170415,407,6,236,UE2020
TO,95591,3,165,248,218,20221030T080001,20221030T170354,407,8,217,UE2015
TO,95591,3,132,337,280,20221030T080001,20221030T170020,407,33,264,UE2010
TO,95591,3,12,276,218,20221030T080001,20221030T170137,407,7,195,UE2020
TO,95591,3,191,337,269,20221030T080001,20221030T170401,407,43,258,UE2010
TO,95591,3,237,337,274,20221030T080001,20221030T170134,407,23,262,UE2010
TO,95591,3,152,292,242,20221030T080001,20221030T170208,407,6,221,UE2015
TO,95591,3,55,294,255,20221030T080001,20221030T170342,407,9,235,UE2020
TO,95591,3,141,285,235,20221030T080001,20221030T170113,407,5,225,UE2020
TO,95591,3,118,248,209,20221030T080001,20221030T170018,407,24,195,UE2010
TO,95591,3,121,285,233,20221030T080001,20221030T170251,407,5,216,UE2020
TO,95591,3,115,265,220,20221030T080001,20221030T170235,407,7,201,UE2020
TO,95591,3,46,250,208,20221030T080001,20221030T170126,407,33,197,UE2010
TO,95591,3,44,312,257,20221030T080001,20221030T170020,407,11,243,UE2015
TO,95591,3,230,326,236,20221030T080001,20221030T170759,407,31,222,UE2010
TO,95591,3,247,343,313,20221030T080001,20221030T170018,407,41,244,UE2010
TO,95591,3,31,256,209,20221030T080001,20221030T170015,407,18,192,UE2015
TO,95591,3,32,253,232,20221030T080001,20221030T170101,407,9,219,UE2015
TO,95591,3,238,342,279,20221030T080001,20221030T170845,407,48,265,UE2010
TO,95591,3,153,214,176,20221030T080001,20221030T170041,407,8,166,UE2020
TO,95591,3,208,302,235,20221030T080001,20221030T170106,407,5,224,UE2015
TO,95591,3,184,313,268,20221030T080001,20221030T170353,407,20,237,UE2015
TO,95591,3,220,335,274,20221030T080001,20221030T170223,407,38,262,UE2010
TO,95591,3,224,291,233,20221030T080001,20221030T170241,407,12,217,UE2015
TO,95591,3,106,323,277,20221030T080001,20221030T170110,407,7,260,UE2020
TO,95591,3,234,280,224,20221030T080001,20221030T170129,407,10,204,UE2020
TO,95591,3,236,332,270,20221030T080001,20221030T170034,407,54,266,UE2010
TO,95591,3,3,247,213,20221030T080001,20221030T170046,407,14,180,UE2020
TO,95591,3,28,256,214,20221030T080001,20221030T170412,407,34,194,UE2010
TO,95591,3,180,242,192,20221030T080001,20221030T170023,407,5,192,UE2015
TO,95591,3,177,339,290,20221030T080001,20221030T170041,407,19,273,UE2010
TO,95591,3,217,329,265,20221030T080001,20221030T170433,407,13,241,UE2020
TO,95591,3,26,254,204,20221030T080001,20221030T170005,407,22,191,UE2015
TO,95591,3,56,260,216,20221030T080001,20221030T170113,407,11,211,UE2015
TO,95591,3,38,329,256,20221030T080001,20221030T170110,407,15,234,UE2020
TO,95591,3,144,322,266,20221030T080131,20221030T170051,407,8,243,UE2020
TO,95591,3,204,327,262,20221030T080001,20221030T170217,407,36,246,UE2010
TO,95591,3,35,340,267,20221030T080001,20221030T170104,407,10,249,UE2015
TO,95591,3,6,276,225,20221030T080001,20221030T170029,407,10,206,UE2020
TO,95591,3,8,277,221,20221030T080114,20221030T170047,407,3,201,UE2020
TO,95591,3,176,254,213,20221030T080001,20221030T170413,407,17,212,UE2015
TO,95591,3,198,272,230,20221030T080001,20221030T170046,407,5,226,UE2015
TO,95591,3,123,213,186,20221030T080001,20221030T170158,407,9,176,UE2020
TO,95591,3,206,249,191,20221030T080001,20221030T170611,407,39,189,UE2010
TO,95591,3,179,225,178,20221030T080001,20221030T170214,407,17,162,UE2010
TO,95591,3,40,326,266,20221030T080001,20221030T170454,407,7,249,UE2020
TO,95591,3,20,320,261,20221030T080001,20221030T170006,407,9,246,UE2020
TO,95591,3,139,292,251,20221030T080002,20221030T170231,407,9,234,UE2015
TO,95591,3,246,334,250,20221030T080001,20221030T170007,407,18,240,UE2010
TO,95591,3,37,244,194,20221030T080001,20221030T170026,407,11,191,UE2015
TO,95591,3,160,314,256,20221030T080001,20221030T170322,407,13,240,UE2020
TO,95591,3,214,289,253,20221030T080001,20221030T170226,407,3,235,UE2020
TO,95591,3,200,302,218,20221030T080001,20221030T170521,407,10,198,UE2020
TO,95591,3,136,266,225,20221030T080001,20221030T170055,407,4,206,UE2020
TO,95591,3,98,328,270,20221030T080642,20221030T170302,407,12,248,UE2020
TO,95591,3,164,227,189,20221030T080001,20221030T170302,407,20,173,UE2010
TO,95591,3,211,314,257,20221030T080001,20221030T170524,407,5,235,UE2015
TO,95591,3,124,300,256,20221030T080001,20221030T170606,407,14,249,UE2015
TO,95591,3,197,215,164,20221030T080002,20221030T170141,407,8,151,UE2020
TO,95591,3,175,306,252,20221030T080001,20221030T170126,407,10,232,UE2020
TO,95591,3,193,303,253,20221030T080001,20221030T170035,407,15,250,UE2020
TO,95591,3,231,320,242,20221030T080001,20221030T170026,407,9,208,UE2020
TO,95591,3,16,316,257,20221030T080001,20221030T170104,407,16,244,UE2020
TO,95591,3,202,268,232,20221030T080001,20221030T170148,407,16,214,UE2020
TO,95591,3,140,213,171,20221030T080001,20221030T170034,407,0,160,UE2020
TO,95591,3,239,329,236,20221030T080001,20221030T170217,407,41,219,UE2010
TO,95591,3,23,299,249,20221030T080226,20221030T170104,407,20,244,UE2020
TO,95591,3,212,274,227,20221030T080001,20221030T170027,407,17,206,UE2020
TO,95591,3,169,323,282,20221030T080001,20221030T170154,407,4,182,UE2020
TO,95591,3,216,311,257,20221030T080001,20221030T170505,407,19,246,UE2020
TO,95591,3,228,339,279,20221030T080001,20221030T170038,407,26,262,UE2010
TO,95591,3,181,194,152,20221030T080001,20221030T170033,407,6,89,UE2015
TO,95591,3,172,262,221,20221030T080001,20221030T170040,407,34,196,UE2009
TO,95591,3,49,315,264,20221030T080001,20221030T170312,407,16,241,UE2020
TO,95591,3,18,255,200,20221030T080001,20221030T170029,407,29,199,UE2009
TO,95591,3,30,256,215,20221030T080001,20221030T170023,407,20,193,UE2010
TO,95591,3,222,175,140,20221030T080001,20221030T170109,407,3,122,UE2015
TO,95591,3,29,258,216,20221030T080001,20221030T170112,407,14,199,UE2015
TO,95591,3,242,315,227,20221030T082342,20221030T170117,407,17,178,UE2010
TO,95591,3,51,299,247,20221030T080001,20221030T170115,407,24,239,UE2020
TO,95591,3,43,309,255,20221030T080001,20221030T170119,407,10,241,UE2015
TO,95591,3,221,316,239,20221030T080001,20221030T170242,407,13,211,UE2015
TO,95591,3,166,256,211,20221030T080001,20221030T170025,407,17,207,UE2015
TO,95591,3,215,339,280,20221030T080001,20221030T170057,407,40,263,UE2010
TO,95591,3,190,160,130,20221030T080001,20221030T170239,407,13,123,UE2010
TO,95591,3,57,265,220,20221030T080001,20221030T170508,407,17,218,UE2015
TO,95591,3,34,345,293,20221030T080001,20221030T170152,407,40,271,UE2010
TO,95591,3,195,292,234,20221030T080001,20221030T170254,407,16,219,UE2015
TO,95591,3,108,313,254,20221030T080001,20221030T170205,407,26,234,UE2010
TO,95591,3,226,160,128,20221030T080001,20221030T170044,407,5,102,UE2015
TO,95591,3,232,169,133,20221030T080001,20221030T170040,407,4,93,UE2010
TO,95591,3,138,316,255,20221030T080001,20221030T170038,407,8,238,UE2020
TO,95591,3,5,342,288,20221030T080132,20221030T170103,407,27,286,UE2020
TO,95591,3,36,343,294,20221030T080001,20221030T170023,407,15,279,UE2015
TO,95591,3,10,278,219,20221030T080237,20221030T170118,407,12,199,UE2020
TO,95591,3,143,256,212,20221030T080001,20221030T170151,407,15,202,UE2010
TO,95591,3,2,321,277,20221030T080001,20221030T170132,407,15,265,UE2020
TO,95591,3,131,310,266,20221030T080001,20221030T170022,407,23,256,UE2015
TO,95591,3,185,290,238,20221030T080001,20221030T170727,407,4,220,UE2020
TO,95591,3,21,291,248,20221030T080001,20221030T170328,407,14,241,UE2020
TO,95591,3,168,133,111,20221030T080001,20221030T170324,407,45,105,UE2009
TO,95591,3,11,279,227,20221030T080001,20221030T170242,407,6,205,UE2020
TO,95591,3,147,234,202,20221030T080001,20221030T170150,407,8,160,UE2020
TO,95591,3,122,287,233,20221030T080001,20221030T172011,407,20,218,UE2015
TO,95591,3,42,325,261,20221030T080001,20221030T170148,407,16,232,UE2020
