UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
DF,97012,9,121,340,290,20221030T080001,20221030T170024,407,17,268,UE2020
DF,97012,9,115,335,286,20221030T080001,20221030T170220,407,20,265,UE2020
DF,97012,9,327,308,231,20221030T080001,20221030T170935,407,7,224,UE2020
DF,97012,9,364,299,256,20221030T080001,20221030T170405,407,10,256,UE2020
DF,97012,9,119,339,293,20221030T080001,20221030T170427,407,9,273,UE2020
DF,97012,9,353,303,258,20221030T080001,20221030T170807,407,13,257,UE2020
DF,97012,9,46,257,221,20221030T080001,20221030T170749,407,13,197,UE2020
DF,97012,9,44,258,224,20221030T080001,20221030T170812,407,16,200,UE2020
DF,97012,9,230,301,246,20221030T080001,20221030T170212,407,16,222,UE2020
DF,97012,9,74,233,199,20221030T080001,20221030T170152,407,9,185,UE2020
DF,97012,9,247,250,209,20221030T080001,20221030T170137,407,10,206,UE2020
DF,97012,9,432,223,190,20221030T080001,20221030T170423,407,1,110,UE2020
DF,97012,9,31,253,210,20221030T080001,20221030T170426,407,9,197,UE2020
DF,97012,9,32,254,221,20221030T080001,20221030T170253,407,20,207,UE2020
DF,97012,9,238,463,402,20221030T080001,20221030T170307,407,21,376,UE2020
DF,97012,9,153,328,277,20221030T080001,20221030T170339,407,14,273,UE2020
DF,97012,9,208,341,274,20221030T080001,20221030T170454,407,9,247,UE2020
DF,97012,9,402,315,257,20221030T080001,20221030T170808,407,6,242,UE2020
DF,97012,9,372,305,253,20221030T080001,20221030T170642,407,7,244,UE2020
DF,97012,9,416,394,325,20221030T080001,20221030T170137,407,9,274,UE2020
DF,97012,9,184,329,276,20221030T080001,20221030T170311,407,13,246,UE2020
DF,97012,9,272,346,256,20221030T080001,20221030T170153,407,10,228,UE2020
DF,97012,9,67,277,239,20221030T080001,20221030T170539,407,8,229,UE2020
DF,97012,9,19,415,361,20221030T080216,20221030T170419,407,26,344,UE2020
DF,97012,9,220,349,259,20221030T080001,20221030T170252,407,4,188,UE2020
DF,97012,9,224,323,278,20221030T080001,20221030T170253,407,11,255,UE2020
DF,97012,9,106,306,250,20221030T080001,20221030T170453,407,17,234,UE2020
DF,97012,9,358,309,265,20221030T080001,20221030T170344,407,16,258,UE2020
DF,97012,9,234,332,279,20221030T080001,20221030T170405,407,11,225,UE2020
DF,97012,9,236,319,272,20221030T080001,20221030T170103,407,16,248,UE2020
DF,97012,9,137,356,302,20221030T080001,20221030T170547,407,10,283,UE2020
DF,97012,9,254,337,286,20221030T080001,20221030T170322,407,19,267,UE2020
DF,97012,9,356,301,260,20221030T080001,20221030T170306,407,14,253,UE2020
DF,97012,9,386,301,245,20221030T080001,20221030T170231,407,13,241,UE2020
DF,97012,9,289,431,371,20221030T080001,20221030T170257,407,5,367,UE2020
DF,97012,9,3,317,268,20221030T080001,20221030T170337,407,17,259,UE2020
DF,97012,9,28,340,285,20221030T080558,20221030T170741,407,14,260,UE2020
DF,97012,9,62,276,238,20221030T080001,20221030T170410,407,6,225,UE2020
DF,97012,9,50,258,208,20221030T080001,20221030T170413,407,13,188,UE2020
DF,97012,9,114,304,254,20221030T080001,20221030T170641,407,19,236,UE2020
DF,97012,9,80,233,195,20221030T080001,20221030T170256,407,9,172,UE2020
DF,97012,9,283,331,283,20221030T080001,20221030T170317,407,10,232,UE2020
DF,97012,9,180,325,269,20221030T080001,20221030T170341,407,10,261,UE2020
DF,97012,9,290,307,240,20221030T080001,20221030T170451,407,3,231,UE2020
DF,97012,9,177,331,274,20221030T080001,20221030T170111,407,17,251,UE2020
DF,97012,9,435,363,286,20221030T080001,20221030T170652,407,12,173,UE2020
DF,97012,9,395,301,252,20221030T080001,20221030T170322,407,20,243,UE2020
DF,97012,9,217,268,228,20221030T080001,20221030T170346,407,9,227,UE2020
DF,97012,9,66,280,230,20221030T080001,20221030T170613,407,9,219,UE2020
DF,97012,9,428,305,230,20221030T080352,20221030T170532,407,5,229,UE2020
DF,97012,9,258,347,242,20221030T080001,20221030T170209,407,0,217,UE2020
DF,97012,9,97,278,234,20221030T080001,20221030T170402,407,11,224,UE2020
DF,97012,9,70,236,208,20221030T080001,20221030T170324,407,18,194,UE2020
DF,97012,9,324,408,356,20221030T080001,20221030T170342,407,5,326,UE2020
DF,97012,9,100,304,245,20221030T080001,20221030T170305,407,19,227,UE2020
DF,97012,9,427,339,271,20221030T080001,20221030T170500,407,4,197,UE2020
DF,97012,9,129,335,287,20221030T080437,20221030T170402,407,15,268,UE2020
DF,97012,9,411,312,246,20221030T080001,20221030T170526,407,7,234,UE2020
DF,97012,9,87,232,193,20221030T080001,20221030T170124,407,10,163,UE2020
DF,97012,9,26,341,283,20221030T080001,20221030T170455,407,13,254,UE2020
DF,97012,9,56,276,223,20221030T080001,20221030T170257,407,13,206,UE2020
DF,97012,9,390,298,255,20221030T080001,20221030T170413,407,15,255,UE2020
DF,97012,9,151,325,272,20221030T080001,20221030T170013,407,15,263,UE2020
DF,97012,9,38,252,216,20221030T080001,20221030T170307,407,8,208,UE2020
DF,97012,9,148,350,295,20221030T080001,20221030T170443,407,10,280,UE2020
DF,97012,9,255,333,281,20221030T080001,20221030T170511,407,20,223,UE2020
DF,97012,9,161,326,260,20221030T080001,20221030T170328,407,14,258,UE2020
DF,97012,9,91,256,216,20221030T080324,20221030T170842,407,10,202,UE2020
DF,97012,9,346,268,242,20221030T080001,20221030T170359,407,10,242,UE2020
DF,97012,9,76,233,194,20221030T080001,20221030T170343,407,11,171,UE2020
DF,97012,9,192,335,279,20221030T080001,20221030T170302,407,11,269,UE2020
DF,97012,9,144,342,295,20221030T080254,20221030T170540,407,13,272,UE2020
DF,97012,9,335,310,259,20221030T080001,20221030T170425,407,8,233,UE2020
DF,97012,9,204,321,275,20221030T080001,20221030T170316,407,18,251,UE2020
DF,97012,9,412,315,251,20221030T080232,20221030T170422,407,4,244,UE2020
DF,97012,9,408,316,255,20221030T080001,20221030T170545,407,3,241,UE2020
DF,97012,9,196,309,266,20221030T080001,20221030T171012,407,8,265,UE2020
DF,97012,9,261,323,260,20221030T080001,20221030T170938,407,9,258,UE2020
DF,97012,9,357,381,337,20221030T080001,20221030T170226,407,12,321,UE2020
DF,97012,9,273,327,272,20221030T080001,20221030T170546,407,5,264,UE2020
DF,97012,9,293,320,274,20221030T080001,20221030T170209,407,12,270,UE2020
DF,97012,9,93,256,206,20221030T080001,20221030T170727,407,12,186,UE2020
DF,97012,9,321,300,261,20221030T080001,20221030T170312,407,7,259,UE2020
DF,97012,9,35,251,219,20221030T080001,20221030T170415,407,14,207,UE2020
DF,97012,9,6,311,258,20221030T080001,20221030T170204,407,12,251,UE2020
DF,97012,9,413,318,249,20221030T080001,20221030T170856,407,0,227,UE2020
DF,97012,9,437,393,362,20221030T080001,20221030T170322,407,4,188,UE2020
DF,97012,9,8,314,272,20221030T080001,20221030T170246,407,12,263,UE2020
DF,97012,9,176,329,282,20221030T080001,20221030T170047,407,25,273,UE2020
DF,97012,9,198,278,247,20221030T080001,20221030T170038,407,15,236,UE2020
DF,97012,9,123,341,292,20221030T080001,20221030T170438,407,19,272,UE2020
DF,97012,9,330,307,241,20221030T080001,20221030T170351,407,12,228,UE2020
DF,97012,9,187,382,302,20221030T080001,20221030T170336,407,11,282,UE2020
DF,97012,9,206,340,271,20221030T080001,20221030T170411,407,12,242,UE2020
